Group,N,Model,PV,SR,Sortino,MDD,AR,Calmar,ATO
4Large,4,SB-P,1.2571,0.3917,0.5303,-0.2858,0.1207,0.4223,0.3602
4Large,4,S-BERT,1.2569,0.3912,0.5298,-0.2858,0.1206,0.422,0.4035
4Large,4,SBA,1.2572,0.3922,0.5309,-0.2858,0.1207,0.4225,0.0055
4Large,4,SBC,1.2577,0.3927,0.5314,-0.2856,0.121,0.4236,0.7191
4Large,4,SBCA,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224,0.0147
8Large,8,SB-P,1.723,0.9084,1.1005,-0.3,0.3112,1.0374,0.2471
8Large,8,S-BERT,1.7238,0.9085,1.1026,-0.3002,0.3115,1.0377,0.2284
8Large,8,SBA,1.7192,0.9058,1.0979,-0.2999,0.3098,1.0331,0.0197
8Large,8,SBC,1.7278,0.912,1.1055,-0.3003,0.313,1.0425,0.1498
8Large,8,SBCA,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033,0.0099
4Mid,4,SB-P,1.4494,0.3797,0.5589,-0.5183,0.203,0.3917,0.5095
4Mid,4,S-BERT,1.4496,0.3797,0.559,-0.518,0.2031,0.3922,0.4909
4Mid,4,SBA,1.4501,0.3803,0.5598,-0.5171,0.2033,0.3932,0.0083
4Mid,4,SBC,1.4479,0.3781,0.5566,-0.5188,0.2024,0.3902,0.6746
4Mid,4,SBCA,1.4502,0.3804,0.5584,-0.5171,0.2034,0.3933,0.0026
8Mid,8,SB-P,1.3853,0.3891,0.4837,-0.5063,0.1762,0.3481,0.2816
8Mid,8,S-BERT,1.3813,0.3856,0.4805,-0.506,0.1745,0.345,0.2815
8Mid,8,SBA,1.3838,0.3879,0.4829,-0.5059,0.1756,0.347,0.0039
8Mid,8,SBC,1.3836,0.3876,0.4818,-0.5063,0.1755,0.3467,0.191
8Mid,8,SBCA,1.3837,0.3879,0.4828,-0.506,0.1756,0.347,0.0114
4Small,4,SB-P,1.4393,0.3441,0.4921,-0.6076,0.1988,0.3272,2.6437
4Small,4,S-BERT,1.4272,0.3346,0.4796,-0.6089,0.1938,0.3183,1.4766
4Small,4,SBA,1.4199,0.3294,0.4725,-0.6086,0.1908,0.3135,0.0185
4Small,4,SBC,1.4321,0.3381,0.4843,-0.608,0.1959,0.3222,1.0997
4Small,4,SBCA,1.4206,0.3299,0.4731,-0.6086,0.1911,0.3139,0.0254
8Small,8,SB-P,4.2337,1.6116,2.2472,-0.4516,1.0517,2.3292,0.3942
8Small,8,S-BERT,4.272,1.6192,2.2618,-0.4502,1.061,2.3568,0.402
8Small,8,SBA,4.2738,1.621,2.2633,-0.4505,1.0614,2.3559,0.0082
8Small,8,SBC,4.291,1.6245,2.27,-0.4498,1.0655,2.3687,0.2276
8Small,8,SBCA,4.2701,1.6203,2.261,-0.4506,1.0605,2.3535,0.0226
3Mix,3,SB-P,1.7051,0.5332,0.7273,-0.5997,0.3044,0.5076,0.5381
3Mix,3,S-BERT,1.7028,0.5324,0.726,-0.5997,0.3035,0.5062,0.5502
3Mix,3,SBA,1.7067,0.5335,0.7236,-0.6003,0.305,0.5081,0.012
3Mix,3,SBC,1.7067,0.5353,0.7299,-0.599,0.305,0.5092,0.3772
3Mix,3,SBCA,1.7058,0.5328,0.725,-0.6005,0.3047,0.5074,0.0266
6Mix,6,SB-P,1.7238,0.6255,0.8544,-0.5335,0.3115,0.584,1.1693
6Mix,6,S-BERT,1.7354,0.635,0.8675,-0.5315,0.3159,0.5944,2.0239
6Mix,6,SBA,1.7221,0.624,0.8511,-0.5332,0.3109,0.583,0.0035
6Mix,6,SBC,1.7567,0.6477,0.8865,-0.5325,0.3239,0.6083,2.1173
6Mix,6,SBCA,1.7227,0.6244,0.8509,-0.5333,0.3111,0.5834,0.0048
12Mix,12,SB-P,1.4466,0.513,0.6745,-0.4774,0.2019,0.4228,0.1727
12Mix,12,S-BERT,1.4491,0.5153,0.6781,-0.4777,0.2029,0.4248,0.1546
12Mix,12,SBA,1.4491,0.5158,0.6786,-0.4774,0.2029,0.425,0.0059
12Mix,12,SBC,1.4492,0.5155,0.6784,-0.4776,0.2029,0.4249,0.1103
12Mix,12,SBCA,1.4494,0.516,0.6789,-0.4774,0.203,0.4252,0.0059
18Mix,18,SB-P,2.4282,1.3818,1.6477,-0.4048,0.5556,1.3725,0.1341
18Mix,18,S-BERT,2.4273,1.3816,1.6471,-0.4047,0.5553,1.372,0.121
18Mix,18,SBA,2.4274,1.3816,1.647,-0.4047,0.5553,1.3719,0.0103
18Mix,18,SBC,2.4339,1.3842,1.6516,-0.4044,0.5574,1.3782,0.3473
18Mix,18,SBCA,2.4284,1.3823,1.6479,-0.4047,0.5556,1.3729,0.0302
24All,24,SB-P,2.2485,1.2422,1.4198,-0.4161,0.4971,1.1947,0.0879
24All,24,S-BERT,2.2843,1.2632,1.4444,-0.4148,0.5089,1.227,0.9144
24All,24,SBA,2.2496,1.243,1.4206,-0.416,0.4975,1.1959,0.0004
24All,24,SBC,2.2658,1.2519,1.4312,-0.4155,0.5028,1.2101,0.6383
24All,24,SBCA,2.2493,1.2428,1.4204,-0.4159,0.4974,1.1958,0.0066
