Group,N,PriceAlpha,PV,SR,Sortino,MDD,AR,Calmar,ATO
4Large,4,0.2,1.257,0.3919,0.5306,-0.2857,0.1206,0.4222,0.0159
4Large,4,0.3,1.2572,0.3921,0.5309,-0.2857,0.1207,0.4225,0.0064
4Large,4,0.4,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224,0.0096
4Large,4,0.5,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4223,0.0022
4Large,4,0.6,1.2572,0.3922,0.5309,-0.2858,0.1207,0.4225,0.0091
8Large,8,0.2,1.7198,0.9064,1.0987,-0.2999,0.31,1.0338,0.0217
8Large,8,0.3,1.719,0.9056,1.0962,-0.2999,0.3097,1.0327,0.0145
8Large,8,0.4,1.7193,0.9059,1.0966,-0.2999,0.3098,1.0331,0.0134
8Large,8,0.5,1.7193,0.9058,1.0965,-0.2999,0.3098,1.033,0.0118
8Large,8,0.6,1.7194,0.906,1.0967,-0.2999,0.3099,1.0332,0.008
4Mid,4,0.2,1.4493,0.38,0.5595,-0.5165,0.203,0.393,0.1279
4Mid,4,0.3,1.4489,0.3793,0.5585,-0.517,0.2028,0.3922,0.055
4Mid,4,0.4,1.4499,0.3802,0.5596,-0.5171,0.2032,0.393,0.0142
4Mid,4,0.5,1.4505,0.3806,0.5602,-0.5171,0.2035,0.3935,0.0192
4Mid,4,0.6,1.4502,0.3803,0.5598,-0.5171,0.2034,0.3933,0.0087
8Mid,8,0.2,1.3837,0.388,0.4829,-0.5058,0.1756,0.3471,0.0203
8Mid,8,0.3,1.3837,0.3879,0.4829,-0.506,0.1756,0.347,0.0187
8Mid,8,0.4,1.3837,0.3879,0.4828,-0.5059,0.1755,0.347,0.008
8Mid,8,0.5,1.3835,0.3877,0.4826,-0.506,0.1755,0.3468,0.0322
8Mid,8,0.6,1.3839,0.388,0.483,-0.506,0.1756,0.3471,0.0187
4Small,4,0.2,1.4191,0.3288,0.4716,-0.6088,0.1905,0.3129,0.0762
4Small,4,0.3,1.42,0.3294,0.472,-0.6086,0.1908,0.3135,0.0127
4Small,4,0.4,1.4201,0.3295,0.4613,-0.6087,0.1909,0.3136,0.0043
4Small,4,0.5,1.4202,0.3296,0.4678,-0.6086,0.1909,0.3136,0.006
4Small,4,0.6,1.4199,0.3294,0.471,-0.6086,0.1908,0.3135,0.0094
8Small,8,0.2,4.272,1.6207,2.2627,-0.4506,1.061,2.3545,0.0074
8Small,8,0.3,4.2716,1.6206,2.2626,-0.4505,1.0609,2.3546,0.0253
8Small,8,0.4,4.2765,1.6219,2.2642,-0.4506,1.062,2.3569,0.169
8Small,8,0.5,4.2738,1.6215,2.2636,-0.4504,1.0614,2.3565,0.1801
8Small,8,0.6,4.2719,1.6207,2.2617,-0.4505,1.0609,2.3548,0.0235
