Group,N,TP,PV,SR,Sortino,MDD,AR,Calmar,ATO
4Large,4,0.001,1.2571,0.3921,0.5302,-0.2858,0.1207,0.4224,0.0004
4Large,4,0.005,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224,0.0147
4Large,4,0.01,1.2569,0.3918,0.5305,-0.2858,0.1206,0.4221,0.0094
4Large,4,0.02,1.2568,0.3916,0.5302,-0.2857,0.1206,0.422,0.0205
4Large,4,0.05,1.2573,0.3923,0.5311,-0.2857,0.1208,0.4229,0.0206
8Large,8,0.001,1.7189,0.9056,1.0962,-0.2999,0.3097,1.0327,0.0111
8Large,8,0.005,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033,0.0099
8Large,8,0.01,1.7189,0.9056,1.0962,-0.2999,0.3097,1.0327,0.0093
8Large,8,0.02,1.7193,0.9058,1.0965,-0.2999,0.3098,1.033,0.0075
8Large,8,0.05,1.7176,0.9045,1.0949,-0.2998,0.3092,1.0312,0.0042
4Mid,4,0.001,1.4498,0.38,0.5595,-0.5171,0.2032,0.393,0.0543
4Mid,4,0.005,1.4502,0.3804,0.5584,-0.5171,0.2034,0.3933,0.0026
4Mid,4,0.01,1.4506,0.3807,0.5603,-0.5171,0.2035,0.3936,0.0369
4Mid,4,0.02,1.4498,0.3801,0.5591,-0.5169,0.2032,0.3931,0.0021
4Mid,4,0.05,1.4471,0.3781,0.5569,-0.5167,0.2021,0.3911,0.0177
8Mid,8,0.001,1.3838,0.3879,0.4829,-0.506,0.1756,0.347,0.0101
8Mid,8,0.005,1.3837,0.3879,0.4828,-0.506,0.1756,0.347,0.0114
8Mid,8,0.01,1.3836,0.3878,0.4826,-0.506,0.1755,0.3469,0.0269
8Mid,8,0.02,1.3839,0.3882,0.483,-0.5059,0.1756,0.3472,0.0086
8Mid,8,0.05,1.3831,0.3875,0.4818,-0.5057,0.1753,0.3467,0.013
4Small,4,0.001,1.4205,0.3299,0.4726,-0.6086,0.191,0.3139,0.0139
4Small,4,0.005,1.4206,0.3299,0.4731,-0.6086,0.1911,0.3139,0.0254
4Small,4,0.01,1.4199,0.3293,0.4718,-0.6087,0.1908,0.3134,0.0131
4Small,4,0.02,1.4207,0.3299,0.4727,-0.6086,0.1911,0.314,0.0087
4Small,4,0.05,1.4197,0.3292,0.4721,-0.6087,0.1907,0.3133,0.0173
8Small,8,0.001,4.2687,1.6199,2.2616,-0.4506,1.0602,2.3526,0.0429
8Small,8,0.005,4.2701,1.6203,2.261,-0.4506,1.0605,2.3535,0.0226
8Small,8,0.01,4.2733,1.621,2.2622,-0.4505,1.0613,2.3559,0.0245
8Small,8,0.02,4.2715,1.6206,2.2615,-0.4505,1.0608,2.3548,0.0176
8Small,8,0.05,4.2528,1.6166,2.2547,-0.451,1.0563,2.3425,0.1481
