Group,N,Gamma,PV,SR,Sortino,MDD,AR,Calmar
4Large,4,0.9,1.257,0.3919,0.5305,-0.2858,0.1206,0.4221
4Large,4,0.93,1.2571,0.3921,0.5302,-0.2858,0.1207,0.4224
4Large,4,0.95,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224
4Large,4,0.97,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224
4Large,4,0.99,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224
8Large,8,0.9,1.7193,0.9058,1.0965,-0.2999,0.3098,1.033
8Large,8,0.93,1.7192,0.9058,1.0965,-0.2999,0.3098,1.0331
8Large,8,0.95,1.7192,0.9058,1.0964,-0.2999,0.3098,1.0329
8Large,8,0.97,1.7194,0.9059,1.0967,-0.2999,0.3099,1.0332
8Large,8,0.99,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033
4Mid,4,0.9,1.4504,0.3804,0.56,-0.5171,0.2034,0.3934
4Mid,4,0.93,1.4497,0.38,0.5594,-0.517,0.2031,0.393
4Mid,4,0.95,1.4498,0.38,0.5594,-0.5171,0.2032,0.393
4Mid,4,0.97,1.4503,0.3804,0.5585,-0.5171,0.2034,0.3934
4Mid,4,0.99,1.4502,0.3804,0.5584,-0.5171,0.2034,0.3933
8Mid,8,0.9,1.3838,0.3881,0.483,-0.5059,0.1756,0.3471
8Mid,8,0.93,1.3837,0.3879,0.4828,-0.5059,0.1755,0.347
8Mid,8,0.95,1.3838,0.388,0.4829,-0.5059,0.1756,0.3471
8Mid,8,0.97,1.3837,0.3879,0.4828,-0.5059,0.1756,0.347
8Mid,8,0.99,1.3837,0.3879,0.4828,-0.506,0.1756,0.347
4Small,4,0.9,1.4202,0.3296,0.444,-0.6086,0.1909,0.3137
4Small,4,0.93,1.4201,0.3295,0.4452,-0.6086,0.1908,0.3136
4Small,4,0.95,1.4201,0.3295,0.4652,-0.6086,0.1909,0.3136
4Small,4,0.97,1.4202,0.3296,0.4727,-0.6086,0.1909,0.3137
4Small,4,0.99,1.4206,0.3299,0.4731,-0.6086,0.1911,0.3139
8Small,8,0.9,4.2722,1.6207,2.2617,-0.4506,1.061,2.3546
8Small,8,0.93,4.2696,1.6202,2.2618,-0.4506,1.0604,2.353
8Small,8,0.95,4.2714,1.6206,2.2615,-0.4505,1.0608,2.3545
8Small,8,0.97,4.2731,1.621,2.2621,-0.4505,1.0612,2.3556
8Small,8,0.99,4.2701,1.6203,2.261,-0.4506,1.0605,2.3535
