Group,N,LR,PV,SR,Sortino,MDD,AR,Calmar
4Large,4,0.0001,1.2567,0.3915,0.5301,-0.2858,0.1205,0.4217
4Large,4,0.0002,1.257,0.3919,0.5306,-0.2858,0.1207,0.4222
4Large,4,0.0003,1.2571,0.3921,0.5308,-0.2858,0.1207,0.4224
4Large,4,0.0005,1.2571,0.3921,0.5302,-0.2858,0.1207,0.4224
4Large,4,0.001,1.2571,0.392,0.5307,-0.2858,0.1207,0.4223
8Large,8,0.0001,1.7194,0.9059,1.0966,-0.2999,0.3098,1.0331
8Large,8,0.0002,1.719,0.9057,1.0977,-0.2999,0.3097,1.0328
8Large,8,0.0003,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033
8Large,8,0.0005,1.7192,0.9059,1.0965,-0.2999,0.3098,1.033
8Large,8,0.001,1.7189,0.9055,1.0961,-0.2999,0.3097,1.0326
4Small,4,0.0001,1.4191,0.3287,0.4715,-0.6087,0.1904,0.3128
4Small,4,0.0002,1.4199,0.3294,0.4679,-0.6087,0.1908,0.3134
4Small,4,0.0003,1.4206,0.3299,0.4731,-0.6086,0.1911,0.3139
4Small,4,0.0005,1.4205,0.3298,0.4715,-0.6086,0.191,0.3138
4Small,4,0.001,1.4205,0.3297,0.4729,-0.6088,0.191,0.3138
8Small,8,0.0001,4.2706,1.6202,2.2623,-0.4505,1.0606,2.3543
8Small,8,0.0002,4.2706,1.6203,2.2612,-0.4506,1.0606,2.354
8Small,8,0.0003,4.2701,1.6203,2.261,-0.4506,1.0605,2.3535
8Small,8,0.0005,4.271,1.6204,2.261,-0.4507,1.0607,2.3535
8Small,8,0.001,4.2706,1.6204,2.261,-0.4507,1.0606,2.3533
