Group,N,Cost,Model,SR,MDD,ATO
4Large,4,0.001,SBCA,0.3918,-0.2858,0.0172
4Large,4,0.001,EW,0.3627,-0.2855,0.0
4Large,4,0.001,BH,0.3178,-0.289,0.0
4Large,4,0.0025,SBCA,0.3921,-0.2858,0.0147
4Large,4,0.0025,EW,0.3609,-0.2856,0.0
4Large,4,0.0025,BH,0.3178,-0.289,0.0
4Large,4,0.005,SBCA,0.392,-0.2858,0.0026
4Large,4,0.005,EW,0.358,-0.2857,0.0
4Large,4,0.005,BH,0.3178,-0.289,0.0
4Large,4,0.01,SBCA,0.392,-0.2858,0.0011
4Large,4,0.01,EW,0.3522,-0.2859,0.0
4Large,4,0.01,BH,0.3178,-0.289,0.0
8Large,8,0.001,SBCA,0.9058,-0.2999,0.0125
8Large,8,0.001,EW,0.9146,-0.3027,0.0
8Large,8,0.001,BH,0.9619,-0.3022,0.0
8Large,8,0.0025,SBCA,0.9059,-0.2999,0.0099
8Large,8,0.0025,EW,0.9125,-0.3027,0.0
8Large,8,0.0025,BH,0.9619,-0.3022,0.0
8Large,8,0.005,SBCA,0.9055,-0.2998,0.0096
8Large,8,0.005,EW,0.909,-0.3028,0.0
8Large,8,0.005,BH,0.9619,-0.3022,0.0
8Large,8,0.01,SBCA,0.906,-0.2999,0.0003
8Large,8,0.01,EW,0.9019,-0.3029,0.0
8Large,8,0.01,BH,0.9619,-0.3022,0.0
4Small,4,0.001,SBCA,0.3293,-0.6087,0.0128
4Small,4,0.001,EW,0.2289,-0.6098,0.0
4Small,4,0.001,BH,0.1843,-0.6114,0.0
4Small,4,0.0025,SBCA,0.3299,-0.6086,0.0254
4Small,4,0.0025,EW,0.2276,-0.6098,0.0
4Small,4,0.0025,BH,0.1843,-0.6114,0.0
4Small,4,0.005,SBCA,0.3298,-0.6086,0.0013
4Small,4,0.005,EW,0.2254,-0.6099,0.0
4Small,4,0.005,BH,0.1843,-0.6114,0.0
4Small,4,0.01,SBCA,0.3293,-0.6086,0.0047
4Small,4,0.01,EW,0.2209,-0.61,0.0
4Small,4,0.01,BH,0.1843,-0.6114,0.0
8Small,8,0.001,SBCA,1.6204,-0.4505,0.1818
8Small,8,0.001,EW,1.4916,-0.4471,0.0
8Small,8,0.001,BH,1.0559,-0.5794,0.0
8Small,8,0.0025,SBCA,1.6203,-0.4506,0.0226
8Small,8,0.0025,EW,1.4887,-0.4472,0.0
8Small,8,0.0025,BH,1.0559,-0.5794,0.0
8Small,8,0.005,SBCA,1.6206,-0.4506,0.0013
8Small,8,0.005,EW,1.484,-0.4474,0.0
8Small,8,0.005,BH,1.0559,-0.5794,0.0
8Small,8,0.01,SBCA,1.6203,-0.4507,0.0015
8Small,8,0.01,EW,1.4746,-0.4477,0.0
8Small,8,0.01,BH,1.0559,-0.5794,0.0
