Group,Regime,Model,PV,AR,SR,Sortino,MDD,Calmar
8Large,COVID_Crash(2020Q1),SBCA,0.8292,-0.5273,-1.3728,-1.644,-0.2999,-1.7583
8Large,COVID_Crash(2020Q1),PPO,0.8295,-0.5266,-1.3739,-1.6444,-0.2996,-1.758
8Large,COVID_Crash(2020Q1),EW,0.8259,-0.5348,-1.4028,-1.6661,-0.3027,-1.7663
8Large,COVID_Crash(2020Q1),BH,0.8304,-0.5245,-1.3599,-1.6122,-0.3022,-1.7355
8Large,Bull(2020H2-2021),SBCA,1.7989,0.4761,2.185,3.99,-0.074,6.4332
8Large,Bull(2020H2-2021),PPO,1.7921,0.4724,2.1775,3.9654,-0.0741,6.3728
8Large,Bull(2020H2-2021),EW,1.7981,0.4756,2.1865,3.9375,-0.0742,6.4075
8Large,Bull(2020H2-2021),BH,1.7429,0.4454,2.0931,3.4314,-0.076,5.8595
8Large,Bear(2022H1),SBCA,0.8189,-0.3315,-1.5576,-2.2268,-0.2234,-1.4842
8Large,Bear(2022H1),PPO,0.8203,-0.3292,-1.5538,-2.2254,-0.2217,-1.485
8Large,Bear(2022H1),EW,0.814,-0.3396,-1.6199,-2.3088,-0.2297,-1.4783
8Large,Bear(2022H1),BH,0.8222,-0.3262,-1.6487,-2.317,-0.2223,-1.467
8Small,COVID_Crash(2020Q1),SBCA,0.7792,-0.6313,-1.4665,-1.7403,-0.4506,-1.4011
8Small,COVID_Crash(2020Q1),PPO,0.7749,-0.6395,-1.5,-1.7786,-0.4526,-1.4127
8Small,COVID_Crash(2020Q1),EW,0.7652,-0.6572,-1.5091,-1.8102,-0.4472,-1.4697
8Small,COVID_Crash(2020Q1),BH,0.9478,-0.193,-0.278,-0.314,-0.457,-0.4223
8Small,Bull(2020H2-2021),SBCA,2.9316,1.0406,2.1531,3.8793,-0.2164,4.8091
8Small,Bull(2020H2-2021),PPO,2.9174,1.0341,2.1543,3.8941,-0.2158,4.7913
8Small,Bull(2020H2-2021),EW,2.8996,1.0258,2.1476,3.8484,-0.226,4.54
8Small,Bull(2020H2-2021),BH,2.2392,0.7068,1.366,2.2511,-0.3547,1.9928
8Small,Bear(2022H1),SBCA,0.6679,-0.5567,-2.0016,-2.9864,-0.3434,-1.6211
8Small,Bear(2022H1),PPO,0.6676,-0.5572,-2.0118,-2.9977,-0.3432,-1.6238
8Small,Bear(2022H1),EW,0.6652,-0.5604,-2.0631,-3.1069,-0.3467,-1.6166
8Small,Bear(2022H1),BH,0.6147,-0.6251,-2.533,-3.6512,-0.3879,-1.6114
12Mix,COVID_Crash(2020Q1),SBCA,0.6103,-0.8613,-3.4488,-4.0931,-0.4774,-1.8039
12Mix,COVID_Crash(2020Q1),PPO,0.6107,-0.8609,-3.4461,-4.0859,-0.477,-1.805
12Mix,COVID_Crash(2020Q1),EW,0.6124,-0.8593,-3.5299,-4.0801,-0.4702,-1.8278
12Mix,COVID_Crash(2020Q1),BH,0.6311,-0.8414,-3.481,-4.0082,-0.4533,-1.8562
12Mix,Bull(2020H2-2021),SBCA,1.8576,0.5079,2.2021,3.4527,-0.1383,3.6726
12Mix,Bull(2020H2-2021),PPO,1.8489,0.5032,2.1935,3.4344,-0.1384,3.6369
12Mix,Bull(2020H2-2021),EW,1.8011,0.4773,2.0815,3.2305,-0.143,3.337
12Mix,Bull(2020H2-2021),BH,1.8238,0.4896,1.9324,2.847,-0.1409,3.4749
12Mix,Bear(2022H1),SBCA,0.7996,-0.363,-1.7712,-2.1589,-0.2406,-1.5086
12Mix,Bear(2022H1),PPO,0.8005,-0.3614,-1.7653,-2.1514,-0.2393,-1.5105
12Mix,Bear(2022H1),EW,0.7933,-0.373,-1.8788,-2.2778,-0.2441,-1.5281
12Mix,Bear(2022H1),BH,0.7762,-0.3999,-2.0172,-2.4272,-0.2588,-1.5452
