Group,SR_mean,SR_std,CV%
4Large,0.392,6.324555320336061e-05,0.02
8Large,0.9057999999999999,0.0001264911064067739,0.01
4Mid,0.38024,0.0001854723699099164,0.05
8Mid,0.38784,0.00010198039027186842,0.03
4Small,0.32989999999999997,0.0004381780460041252,0.13
8Small,1.6202400000000001,0.0003440930106817678,0.02
3Mix,0.5330600000000001,0.0005122499389946088,0.1
6Mix,0.6243000000000001,0.0004289522117905437,0.07
12Mix,0.5160600000000001,4.898979485565817e-05,0.01
18Mix,1.38204,0.0002576819745345638,0.02
24All,1.2429,0.00010954451150110224,0.01
